timestamp,author_name,author_title,author_company,post_content,hashtags,source_url,post_type,collected_at
"2026-03-01T15:49:00+08:00","BAS Business Aviation Services / Aircraft Showcase","-","BAS Business Aviation Services","2019 Citation M2 – New to the Market. Interested in having us showcase your aircraft? Email us today at info@aircraftshowcase.com! sales@basjets.com","#LuxuryJet #BusinessJet #AircraftSales #Aviation #Pilot #Aircraft #PrivateJet #LuxuryTravel","https://lnkd.in/ekQFejwH","Aircraft Sales","2026-03-01T15:49:00+08:00"
"2026-03-01T15:50:00+08:00","Russell Foley","Engine & Airframe Component Supplier & Agent","-","PN 305-350-058-0 - LPT 1 NGV - QTY 8 AVAILABLE. Please contact: +447536109474 rmf@rmfoley.com","","rmf@rmfoley.com","Parts Sales","2026-03-01T15:50:00+08:00"
"2026-03-01T15:51:00+08:00","Munshi Asif Sazzad","Aspiring Aviation Management Professional","-","World's Largest Airlines - By Annual Passengers. American Airlines 🇺🇸 - 275.5M, Delta Air Lines 🇺🇸 - 239.9M, Southwest Airlines 🇺🇸 - 231.4M, United Airlines 🇺🇸 - 212.9M, Ryanair 🇮🇪 - 209.6M, IndiGo 🇮🇳 - 134.9M. Growth is shifting toward Asia and emerging markets.","#Aviation #Airlines #GlobalTravel #IndiGo #AirTransport #AviationIndustry #TravelTrends","","Industry Data","2026-03-01T15:51:00+08:00"
"2026-03-01T15:52:00+08:00","Ahmet Yavuz Baykuş","-","Turkish Technic","Job update: Started new position at Turkish Technic","","","Career Update","2026-03-01T15:52:00+08:00"
"2026-03-01T15:53:00+08:00","Kristina Snow","Aviation Strategist","-","Aviation Strategist | Turning Complex Problems into Clear Paths Forward | Building Trust and Creating Friendships Along the Way","","","Profile","2026-03-01T15:53:00+08:00"
"2026-03-01T15:54:00+08:00","Lakshmi Nambiar","Sales & Business Development Representative","Werner Aero, LLC","Aviation Procurement | Aircraft Maintenance | Fleet Technical Planning | Asset Management | Aerospace Engineer","","","Profile","2026-03-01T15:54:00+08:00"
"2026-03-01T15:55:00+08:00","Joe Whaley","Director of Maintenance","Avelo Airlines","I'm happy to share that I'm starting a new position as Director of Maintenance at Avelo Airlines!","","","Career Update","2026-03-01T15:55:00+08:00"
"2026-03-01T15:56:00+08:00","Hector Guerrero","Aviation Maintenance & Quality Leader","Embry-Riddle Aeronautical University","Started MBA with concentration in Aviation Business Administration. Over a decade of experience in engine MRO, line maintenance operations, inspection, and regulatory compliance.","","","Career Update","2026-03-01T15:56:00+08:00"
"2026-03-12T11:25:00+08:00","David Chaimovitz","Founder & CEO @ Setna iO","Setna iO","After a great ISTAT Americas in San Diego, we stopped at our best in class Landing Gear Technologies, LLC to visit with Raul Cruz-Alvarez and Rolando Estrada and the team. Prior to our acquisition and partnership, LGT was an exclusively Boeing landing gear overhaul shop with a focus on wide body 777, 767, and 747s. With support from Setna iO, LGT is now overhauling A330 enhanced landing gears. This unit came from one of our aircraft disassemblies. It's about 16' tall! Reach if you need to discuss an A330 landing gear overhaul program.","#LandingGear #A330 #MRO #SetnaIO #Aviation","https://www.linkedin.com/in/david-chaimovitz-27147a32","Company Update","2026-03-12T11:25:00+08:00"
"2026-03-12T11:26:00+08:00","Todd Chambers","Aircraft & Engine Traders Platform","Aircraft Parts Solutions","G450 Teardown has commenced! The team at Aircraft Parts Solutions are pleased to announce that the de-commissioning of our incident free G450 is well under way. Engines have been placed but the rest of the aircraft is ready to support your operational needs. In fact, a pair of freshly restored G450 inlets will be back in house next week. Please send any requests you may have to sales@aps.parts. You can also DM for more information.","#G450 #AircraftTeardown #AviationParts #Gulfstream","https://www.linkedin.com/groups/3319971","Parts Sales","2026-03-12T11:26:00+08:00"
"2026-03-12T11:30:00+08:00","Precise Aviation","","Precise Aviation","A look behind the scenes at Precise Aviation, where our team is actively supporting turbine engine preservation through detailed, hands-on work that helps protect engine condition, maintain asset value, and support long-term performance.","#AviationMaintenance #MRO #EngineMaintenance #AircraftMaintenance #PreciseAviation","https://www.linkedin.com/company/precise-aviation/posts","MRO Services","2026-03-12T11:30:00+08:00"
"2026-03-12T11:31:00+08:00","Kirby Mae Kinda","Global Sales Leader & Logistician","National Air Cargo","MIDDLE EAST OPERATIONAL UPDATE: The situation in the Persian Gulf is increasingly volatile with many international airlines suspending or heavily reducing commercial service into major hubs like Dubai, Jeddah, Riyadh, and Muscat. Bahrain, Kuwait, Syria, Qatar and Iraq report total or near-total airspace closure, and UAE, Saudi Arabia and Oman have implemented restricted operations. National Air Cargo continues to deliver supply chain resiliency for our customers facilitating shipments across the Middle East with National Airlines operating cargo freighters to the region.","#MiddleEast #AirCargo #Logistics #SupplyChain","https://www.linkedin.com/in/kirbymaekinda","Market Update","2026-03-12T11:31:00+08:00"
"2026-03-12T11:32:00+08:00","Kellstrom Aerospace","","Kellstrom Aerospace","Kellstrom Aerospace supplies airlines and MROs with high quality AMGLO KEMLITE quartz halogen lamps for landing, taxi, and anti collision lighting across a wide range of aircraft platforms. Engineered for superior reliability and extended time on wing, KEMLITE quartz halogen lamps deliver exceptional value and a lower total cost of ownership. Contact: distribution@kellstromaerospace.com or +1(847) 233-5800.","#AircraftLighting #LandingLights #MRO #Aerospace","https://www.linkedin.com/company/kellstrom-aerospace/posts","Product Promotion","2026-03-12T11:32:00+08:00"
"2026-03-12T11:33:00+08:00","SAHAR Group","","SAHAR Group","Great week connecting with the rotorcraft community at VERTICON 2026. Thank you to everyone who stopped by the Sahar Group booth to meet the team and discuss our UH-60 Black Hawk engineering, sustainment, and MRO capabilities. Tomorrow is the final day of the show, we look forward to seeing you.","#VERTICON2026 #UH60 #BlackHawk #Rotorcraft #Aerospace #MRO","https://www.linkedin.com/company/sahar-group/posts","Event/Exhibition","2026-03-12T11:33:00+08:00"
"2026-03-12T11:40:00+08:00","AviTrader Aviation News","","AviTrader Aviation News","Setna iO widens teardown portfolio with B737-700 and CFM56-7B acquisitions. Setna iO continues to expand its aircraft teardown portfolio with the acquisition of B737-700 airframes and CFM56-7B engines. This strategic move strengthens Setna iO's position in the aircraft disassembly and parts supply market.","#Aviation #Aerospace #AviationDaily #AviationNews #Business #AviationIndustry","https://www.linkedin.com/company/avitrader-publications-corp/posts","Industry News","2026-03-12T11:40:00+08:00"
"2026-03-01T15:57:00+08:00","Skyworld Aviation","-","Skyworld Aviation","ERJ 135 ER lease and ERJ 145 MP sale completed. ERJ 135 ER went to new operator in Europe (serial 145376). ERJ 145 MP sold in African region (serial 145405), currently undergoing work package at AAI Maroc.","#erj145 #erj135 #embraeraircraft #embraer","","Aircraft Transaction","2026-03-01T15:57:00+08:00"
"2026-03-01T15:58:00+08:00","Edoardo Barberini","Senior Sales Manager","ST Engineering","Started new position as Senior Sales Manager at ST Engineering","","","Career Update","2026-03-01T15:58:00+08:00"
"2026-03-01T15:59:00+08:00","Mabel Kwan","Managing Director","Alton Aviation Consultancy","Appointed to advisory board of PTE Asia (Passenger Terminal Expo Asia). China, India, and SEA expected to propel traffic growth, accounting for 8 of top 10 markets by RPK growth 2024-2044.","#AsiaAirports #PTEAsia","","Industry News","2026-03-01T15:59:00+08:00"
"2026-03-01T16:00:00+08:00","Magnetic Group / Eigirdas Keblikas","VP of Asset Trading & Leasing","Magnetic Trading","Landing gear market analysis: Assets exist but not always in right configuration, condition, or timeframe. MRO slots constrained, turnaround times longer. Early planning becoming competitive advantage.","#LandingGear #MRO","https://lnkd.in/dc5bGBb3","Market Analysis","2026-03-01T16:00:00+08:00"
"2026-03-01T16:01:00+08:00","Neil Richard Glanville","Pilot","-","Attack on Dubai International Airport - one of the largest airports in the world","","https://lnkd.in/gkNz5KYQ","Breaking News","2026-03-01T16:01:00+08:00"
"2026-03-01T16:02:00+08:00","Aviation & Aerospace Professionals / Bhavya Velani","-","-","Drone Strike Shocks Gulf: Kuwait Airport Terminal Hit on 28 February 2026. Damage to Terminal 1, several airport workers injured. No passenger fatalities reported. Investigations underway amid rising regional tensions.","","","Breaking News","2026-03-01T16:02:00+08:00"
2026-03-01T16:38:00+08:00,Royal Peace Aviation,1st International Broker,Royal Peace Aviation,"ACMI & Charter Availability – DC9 Fleet. We are pleased to announce the availability of two reliable and proven Douglas aircraft for ACMI and Charter operations worldwide. DC9-34F (Freighter) – 1979 YOM: Max Payload: 15,000 kg, Total Volume: 85 CBM, Max Weight per Piece: 4,000 kg. DC9-31 (Passenger) – 1981 YOM: Configuration 100Y, Seating: 100–110 passengers. Both aircraft available for short-term and long-term ACMI agreements, ad-hoc charter.",#ACMI #AircraftCharter #AirCargo #Aviation #Freighter #AirlineOperations #DouglasDC9 #AviationLeasing #CharterFlights,,Aircraft Charter,2026-03-01T16:38:00+08:00
2026-03-01T16:38:00+08:00,Thomas Jaeger,"Founder, Owner and President",ch-aviation,"Stranded alongside me in Doha based on fleet/ADS-B data. DOH: Air India Express B737-800, Gulf Air A320-200, Kuwait Airways A320-200N, Qatar Airways fleet details, Oman Air, Qatar Executive, RwandAir, SAUDI AIRLINES and many more aircraft currently at Doha. That is why the insurance sector calls it ground accumulation risk.",,,Fleet Analysis,2026-03-01T16:38:00+08:00
2026-03-01T16:38:00+08:00,Aviation Talk,-,Aviation Talk,"Breaking: Fire Alarm Activation at Dubai International Airport Following Drone Impact. Passengers and airport staff were seen evacuating sections of Dubai International Airport after fire alarms were triggered amid reports of a drone impact during a broader regional escalation involving Iran. EASA has issued advisory instructing airlines to not operate within affected airspace of Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Oman, Qatar, UAE, and Saudi Arabia.",#AviationTalk #DubaiAirport #DXB #AirspaceClosure #AviationNews #FlightSafety #EASA #MiddleEastAviation #BreakingNews,,Breaking News,2026-03-01T16:38:00+08:00
2026-03-01T16:38:00+08:00,US-Bangla Airlines Ltd.,-,US-Bangla Airlines Ltd.,"Important Travel Update: Due to regional airspace closures, US-Bangla Airlines has temporarily suspended flights to Muscat (MCT), Abu Dhabi (AUH), Dubai (DXB), Sharjah (SHJ), Doha (DOH), and Jeddah (JED) until further notice. Passengers are requested to check flight status on official website.",,,Operational Update,2026-03-01T16:38:00+08:00
2026-03-01T16:42:00+08:00,Lily Eastridge / AeroNova Aviation,"Managing Director | Commercial Aircraft Sales, ACMI Leasing & Business Jet Trading | Engine Trading",AeroNova Aviation LLC,"FOR SALE – FUEL NOZZLES (AR CONDITION). Available for Immediate Delivery. P/N: 1317M47G18 (Qty: 16, AR Condition, Delivery: 2 Days, Trace: 129). P/N: 6840023E16 (Qty: 10, AR Condition, Delivery: 5 Days, Trace: 129). Price: Upon Request. Serious buyers, MRO facilities, and direct operators only.",#AviationParts #FuelNozzles #AircraftComponents #MRO #AviationTrading,,Parts Sales,2026-03-01T16:42:00+08:00
2026-03-01T16:42:00+08:00,Tomasz Śniedziewski / Orient Aviation,Correspondent,Orient Aviation,"Rolls-Royce asks the UK government to fund its return to narrowbody engines market. Rolls-Royce is lobbying the UK government for £3 billion (US$4.05 billion) in subsidies for its new UltraFan 30 engine project, allowing the OEM to return to the lucrative narrowbody aircraft powerplants market.",#RollsRoyce #UltraFan #Engine,https://lnkd.in/gFe4A5QM,Industry News,2026-03-01T16:42:00+08:00
2026-03-01T16:42:00+08:00,Vedant Bhardwaj / Skyway Airlines Inc.,Director – Business Development & External Affairs,Skyway Airlines Inc.,Thank you Jeff Lee and Cargo Facts for featuring Skyway Airlines Inc. Philippines-based Skyway Airlines Inc. has begun flying to mainland China with a Boeing 737-400 freighter and will soon receive its third aircraft to support its international growth.,#skywaygoestochina #speedmatters,https://hubs.la/Q044Ym4T0,Company News,2026-03-01T16:42:00+08:00
2026-03-01T16:42:00+08:00,Neil Richard Glanville / Jameel Wazir,Pilot,-,Attack on Dubai International Airport - one of the largest airports in the world,,https://lnkd.in/gkNz5KYQ,Breaking News,2026-03-01T16:42:00+08:00
2026-03-01T16:42:00+08:00,Lakshmi Nambiar,Sales & Business Development Representative,"Werner Aero, LLC",Now Hiring: Shipping & Receiving Clerk. Also added customer payment options and customer forms directly to website for smoother customer experience.,,https://lnkd.in/gQTcAsNd,Job Posting,2026-03-01T16:42:00+08:00
2026-03-01T16:42:00+08:00,Kalitta Air / Conrad Kalitta,-,Kalitta Air,"Happy Birthday, Conrad 'Connie' Kalitta — a true American visionary and entrepreneur. Founder of Kalitta Air in 2000, transforming it into a global freight powerhouse operating worldwide charter and scheduled cargo services.",,,Company News,2026-03-01T16:42:00+08:00
2026-03-01T16:42:00+08:00,Aerospace Engineering Solutions,-,Aerospace Engineering Solutions,"Provided Part 21J exterior livery drawings and EASA-approved certification for Brussels Airlines' newest Tintin-themed Airbus A320 (OO-SNJ), supporting Airbourne Colours Ltd and the wider project team.",#Part21J #AerospaceEngineering #EASA,,Project Completion,2026-03-01T16:42:00+08:00
2026-03-01T16:42:00+08:00,-,-,SGI Aviation,Started new position as Independent Technical Consultant at SGI Aviation,,,Career Update,2026-03-01T16:42:00+08:00
2026-03-01T16:50:00+08:00,Piaggio Aerospace / Baykar,-,Piaggio Aerospace,"Italian company Piaggio Aerospace, owned by Turkish drone giant Baykar, has unveiled its next-generation aircraft, the Avanti NX. A revolution is underway in Turkish-Italian aviation with modern avionics systems and an annual production target of 30 aircraft.",,https://lnkd.in/e6zMAUtY,Aircraft News,2026-03-01T16:50:00+08:00
2026-03-01T16:50:00+08:00,Kalitta Air,Founder,Kalitta Air,"Happy Birthday, Conrad 'Connie' Kalitta — a true American visionary and entrepreneur. Founder of Kalitta Air in 2000, transforming it into a global freight powerhouse operating worldwide charter and scheduled cargo services.",,,Company News,2026-03-01T16:50:00+08:00
2026-03-01T16:50:00+08:00,AEUSA / Aviation Week,-,Aviation Week,We're just days away from the biggest event in the aero engines industry! Don't miss your chance to join us next week and be part of a record-breaking year. Secure your spot now.,#AEUSA #AviationWeek #AvWeekEvents #Aviation #AeroEngines #EngineLeasing,https://utm.io/ujh2F,Event Promotion,2026-03-01T16:50:00+08:00
2026-03-01T16:50:00+08:00,AMP Aero Services,-,AMP Aero Services,"AI brings your weaknesses to baseline. I still focus on what sets you apart. In my work at AMP Aero Services, I see this play out daily. AI can clean a messy dataset in 5 minutes or write Python scripts in 2, but it cannot replace human expertise in aviation.",,,Industry Insight,2026-03-01T16:50:00+08:00
2026-03-01T16:55:00+08:00,Dubai Aerospace Enterprise (DAE),CEO,Dubai Aerospace Enterprise,Watch Dubai Aerospace CEO: M&A Part of Our DNA - Bloomberg. Discussion on mergers and acquisitions strategy in aircraft leasing.,,,Executive Interview,2026-03-01T16:55:00+08:00
2026-03-01T16:55:00+08:00,Frankfurt Airport,-,Fraport AG,Frankfurt Airport: Ankermieter für Terminal 3 gefunden. Major terminal development announcement for Germany's busiest airport.,,,Infrastructure News,2026-03-01T16:55:00+08:00
2026-03-01T16:55:00+08:00,C&L Aviation Group,-,C&L Aviation Group,Inside Sales Administrator (Remote – Europe) job opening. Greater Dusseldorf Area (Remote).,,,Job Posting,2026-03-01T16:55:00+08:00
2026-03-01T16:55:00+08:00,Aviation Industry Professional,-,-,Document Digitalization Supports a Safer Aviation Industry. Discussion on how digital transformation improves aviation safety.,,,Industry Insight,2026-03-01T16:55:00+08:00
2026-03-01T17:00:00+08:00,Matheeswaran Palanisamy,Aviation Professional,-,"AI may be accelerator, not a differentiator. Curiosity, adaptability and strategic communication still matter in aviation strategic sourcing and client satisfaction.",,,Industry Insight,2026-03-01T17:00:00+08:00
2026-03-01T17:10:00+08:00,Heath Millett,President,Unipak Aviation,Very excited to see what happens 'Next'! Incredible things happen when amazing companies work together!,,,Company Update,2026-03-01T17:10:00+08:00
2026-03-01T17:10:00+08:00,MARTEC AVIATION,-,MARTEC AVIATION,We look forward to a long and fruitful collaboration. Thank you for the visit. See you again soon!,,,Partnership,2026-03-01T17:10:00+08:00
2026-03-01T17:10:00+08:00,John McKirdy,"Senior Vice President, Engine Component Repair Strategy and Growth",Barnes Aerospace,With #BarnesAerospace growing presence in the #AsiaPacific region,#BarnesAerospace #AsiaPacific,,MRO Expansion,2026-03-01T17:10:00+08:00
2026-03-01T17:10:00+08:00,AEROWINGS INTERNATIONAL,-,AEROWINGS INTERNATIONAL,Aviation Professional collaboration and partnership announcement,,,Partnership,2026-03-01T17:10:00+08:00
2026-03-01T17:15:00+08:00,Lauren Hooper,Office Manager,Airline Component Services Ltd,Well deserved Georgie! Team recognition post.,,,Team Update,2026-03-01T17:15:00+08:00
2026-03-01T17:25:00+08:00,SpiceJet Limited,-,SpiceJet Limited,"Hi Keshab, please note that each passenger is permitted to carry one piece of hand baggage with a maximum weight of 7 kg (which would include a laptop and duty-free shopping bags), free of cost.",,,Customer Service,2026-03-01T17:25:00+08:00
